Year_of_Release,NA_Sales,EU_Sales,JP_Sales,Critic_Score,Generos,Plataformas,Empresa,Titulos
1983,720000,50000,0,40,5,0,51,3554
2010,220000,80000,0,41,4,4,104,615
2009,20000,0,0,50,8,13,144,5912
1989,0,0,1280000,68,3,5,329,8606
2009,50000,20000,0,43,9,18,474,5486
1995,0,0,490000,99,9,22,442,6618
2005,50000,10000,0,75,10,7,96,7029
2015,0,0,20000,83,1,19,513,8043
2011,390000,90000,0,64,3,27,495,6445
2003,120000,90000,0,69,4,15,17,8203
2006,20000,10000,0,74,0,6,130,3603
2009,150000,40000,0,48,0,15,51,2707
1993,1780000,530000,0,47,0,8,17,2679
2009,190000,0,0,60,0,4,510,8372
1999,580000,20000,0,53,10,10,131,4153
2007,180000,260000,0,43,8,16,492,2190
2006,0,0,90000,51,7,15,452,6502
2013,90000,0,0,59,5,2,495,6371
2004,320000,80000,0,70,4,7,82,4370
2015,0,30000,0,88,1,13,394,7512
2011,140000,40000,0,45,10,25,21,931
2011,0,40000,0,44,5,4,478,7627
2003,930000,340000,0,44,4,6,440,5545
2008,60000,0,220000,66,0,18,452,8342
2002,80000,30000,0,71,4,6,474,1716
2009,180000,270000,0,92,4,18,414,3407
2004,460000,170000,0,98,4,6,492,1280
2003,360000,80000,0,65,10,28,296,7931
2006,0,0,120000,85,9,4,254,3735
2011,0,40000,0,43,10,2,107,6052
2011,0,0,20000,83,7,18,196,8217
2015,1530000,1690000,100000,48,0,17,495,535
2001,2070000,260000,0,84,6,15,414,98
2000,10000,0,0,69,6,7,478,2517
2013,0,30000,0,79,0,25,317,8648
2011,290000,30000,0,73,10,25,448,4849
2001,90000,60000,0,53,6,14,202,5171
2013,0,10000,0,44,8,27,337,5398
2005,40000,0,0,58,5,18,414,8270
2000,400000,90000,0,99,0,10,442,6194
2003,10000,0,0,92,4,6,325,1899
2003,90000,70000,0,83,11,15,82,6094
2006,70000,0,0,81,0,4,131,7205
2005,10000,0,0,64,0,18,391,5874
2006,0,0,10000,93,0,4,317,3624
2005,60000,50000,70000,85,11,15,254,7061
2011,90000,40000,0,55,3,2,391,441
2008,120000,0,0,48,10,27,21,920
2008,250000,0,0,90,3,27,254,6123
2008,0,0,40000,61,1,18,377,1140
2005,1220000,340000,40000,84,8,15,414,6246
2010,0,10000,0,90,2,13,351,692
2006,0,0,300000,75,3,4,420,5248
2008,40000,30000,40000,72,4,18,414,6383
2009,0,0,70000,92,1,4,104,8182
2012,150000,100000,30000,78,0,16,254,6600
2007,130000,20000,0,93,11,27,264,7770
2010,90000,0,0,56,8,25,272,426
2007,90000,0,0,41,9,18,254,821
2007,1120000,20000,0,100,0,4,21,7986
2004,430000,160000,0,52,6,6,272,4652
2011,270000,140000,40000,98,1,27,131,197
2004,0,0,110000,76,5,18,317,3847
2008,0,0,220000,85,10,15,254,3388
1995,0,0,90000,96,7,22,329,7401
2010,0,0,30000,59,2,18,277,3680
2008,100000,0,110000,42,7,4,195,5866
2005,220000,170000,50000,81,3,15,82,967
2009,80000,0,0,52,6,25,510,845
2008,40000,0,10000,69,0,27,452,8342
2000,0,0,270000,74,10,14,254,3498
2009,0,60000,0,97,3,16,414,6659
2014,10000,20000,0,75,0,26,317,5446
2005,210000,30000,0,85,4,4,474,5929
2013,150000,90000,0,74,11,25,21,268
2010,20000,20000,0,84,1,4,340,7637
2011,300000,130000,180000,86,7,25,329,7580
2006,150000,40000,0,86,4,7,492,7594
2014,520000,350000,180000,75,7,16,422,3771
2006,240000,0,10000,82,9,27,406,1114
2014,30000,20000,0,56,1,27,152,6483
2007,0,0,10000,46,1,15,114,6783
2000,10000,30000,0,75,9,13,131,7675
2006,0,0,40000,85,7,4,329,4170
1998,100000,70000,0,56,10,14,442,830
2012,190000,90000,110000,99,0,16,452,5200
2011,0,0,20000,41,8,27,83,4734
2007,0,0,20000,68,3,4,254,3961
1998,0,0,70000,66,10,5,254,5656
2015,100000,120000,20000,51,7,17,152,1733
2007,240000,20000,0,92,0,25,474,5703
2009,160000,130000,0,71,10,15,414,4082
2012,100000,100000,0,50,7,16,152,2647
2005,10000,0,0,41,1,28,254,8306
1995,0,0,300000,100,7,20,406,702
2010,180000,60000,0,57,10,16,21,7919
2003,40000,10000,0,72,10,6,131,2231
2009,160000,70000,0,59,3,25,254,6356
2009,530000,390000,0,81,3,16,21,2886
2015,550000,1190000,140000,42,8,17,474,7875
2012,0,0,20000,95,0,18,487,1614
2002,90000,70000,0,61,11,15,130,1224
2014,900000,530000,0,71,0,29,474,8352
2008,190000,10000,0,88,0,4,121,7459
1997,350000,240000,0,59,10,14,414,4900
2002,40000,30000,0,44,8,15,134,2108
2008,0,0,30000,40,1,4,391,4067
2008,70000,0,0,68,10,4,254,5150
2008,70000,0,0,45,9,4,290,2305
2015,4590000,2110000,10000,55,8,29,21,947
2005,520000,410000,0,84,10,15,131,4909
2012,0,0,20000,68,0,16,301,6541
2001,190000,150000,0,64,10,15,414,4967
2001,0,0,230000,85,10,14,254,3499
2004,320000,260000,120000,81,11,18,254,4438
2006,90000,240000,0,49,0,18,130,7894
1995,30000,20000,0,69,2,14,342,8717
2002,200000,60000,0,52,10,28,131,3825
2002,0,0,560000,50,2,14,317,2544
2010,0,0,50000,99,1,4,317,5265
2016,180000,110000,0,63,0,27,495,3895
2014,0,0,10000,40,1,2,429,7954
2015,2780000,1270000,30000,48,8,29,296,2957
2011,0,0,150000,83,7,18,478,669
2008,560000,320000,10000,86,4,16,406,6769
2012,70000,80000,0,63,7,13,163,7668
2003,40000,20000,0,51,0,6,51,7398
1997,280000,190000,230000,58,2,14,489,7015
2011,0,0,30000,40,1,18,379,4682
1987,320000,0,520000,58,7,11,423,2381
2006,50000,40000,0,47,4,15,298,7437
2010,50000,120000,0,77,6,16,68,6221
2002,60000,20000,0,59,2,6,277,7567
1982,1030000,60000,0,51,4,0,51,3567
2016,0,0,20000,75,0,19,332,1272
1996,0,0,270000,43,3,14,446,1368
2004,40000,10000,0,46,6,28,88,1197
2007,0,330000,0,78,10,18,406,2474
2003,70000,20000,0,88,10,28,298,4100
2003,220000,80000,0,57,10,6,131,4157
2009,0,0,10000,41,8,27,165,4212
2009,80000,0,0,61,0,4,104,7667
2006,270000,0,0,97,3,18,82,968
2008,0,0,50000,72,1,4,215,3122
1982,300000,20000,0,78,0,0,111,2513
2016,20000,10000,0,85,4,26,115,4510
2016,160000,430000,10000,53,0,17,495,3944
2002,80000,60000,0,89,4,15,298,1821
2008,200000,0,0,96,9,4,474,5478
2008,710000,690000,20000,89,0,27,474,2308
2007,130000,0,0,97,6,25,21,3192
2010,980000,520000,0,70,11,13,448,6589
2011,260000,100000,0,87,8,27,296,7515
2005,60000,0,0,65,11,4,272,1640
2010,400000,0,0,66,10,4,280,1521
1997,0,0,210000,50,7,20,245,4061
2003,240000,70000,0,62,10,28,296,4964
2012,0,0,10000,81,0,18,45,8132
1981,650000,40000,0,99,0,0,459,3762
2014,0,0,20000,73,7,16,332,7438
2010,40000,190000,0,55,11,13,474,5841
2009,100000,0,0,96,0,25,104,400
1999,30000,20000,0,94,10,14,317,523
2008,70000,60000,0,71,10,15,131,4986
2009,30000,80000,0,74,11,13,448,7714
1993,0,0,140000,82,2,12,398,7554
2006,0,0,60000,54,3,18,406,3538
2009,0,0,200000,57,5,4,259,6693
2008,0,0,90000,99,1,4,254,3878
1997,150000,100000,0,60,4,14,414,7898
2008,0,0,20000,56,1,18,215,3123
2010,160000,90000,0,88,3,27,131,4605
1981,370000,20000,0,67,0,0,21,3919
2011,0,0,50000,55,3,16,317,7537
2008,0,0,20000,53,1,18,437,4582
1999,0,0,390000,67,7,14,414,307
1997,240000,160000,0,65,9,14,378,1203
2009,0,0,60000,87,3,4,393,8706
2010,90000,140000,0,48,11,4,474,563
2003,60000,50000,0,47,2,15,82,5297
2010,140000,20000,0,42,3,4,121,962
2014,50000,20000,0,87,1,29,454,7748
2006,40000,0,0,49,5,18,104,5364
2015,0,40000,0,67,0,2,263,4615
2009,140000,0,0,49,3,25,131,1080
2009,120000,0,0,85,0,4,474,7362
2011,0,20000,0,65,11,4,478,2318
2016,0,0,40000,75,0,19,104,852
1997,250000,20000,0,83,10,10,254,4870
2012,0,0,210000,100,0,2,329,3977
2004,60000,0,0,100,1,4,474,6880
2001,60000,20000,0,85,10,6,442,784
2014,0,0,30000,99,1,19,7,3322
2014,30000,30000,80000,41,7,19,332,1654
2003,620000,180000,10000,93,8,28,296,835
2004,440000,160000,0,62,3,6,272,7422
1996,30000,20000,0,87,10,14,192,8169
2010,60000,10000,0,45,10,25,21,12
2014,350000,170000,0,78,3,17,474,6131
2003,170000,130000,0,79,0,15,82,6015
2006,0,0,90000,48,3,18,406,3684
2014,20000,10000,30000,66,7,19,332,5101
2001,1370000,2000000,140000,46,0,14,131,3006
2004,300000,240000,0,57,4,15,442,7302
2002,310000,110000,0,88,4,6,58,7653
2006,100000,10000,0,82,0,25,474,7884
2002,50000,40000,0,88,11,15,4,356
2011,220000,10000,0,81,3,25,442,508
1999,60000,40000,0,66,9,14,54,50
2009,280000,300000,0,70,8,16,21,7995
2007,30000,10000,0,75,0,4,172,1178
2005,70000,60000,0,53,6,15,474,28
2008,240000,0,0,53,1,4,172,799
2002,230000,80000,0,49,1,6,58,2076
2009,20000,0,0,45,6,27,511,3314
2016,0,0,20000,82,0,19,452,620
2005,10000,10000,0,58,6,15,68,195
2013,210000,120000,0,98,10,27,131,7788
2007,0,0,20000,71,3,25,317,2981
2000,110000,10000,0,83,10,10,17,4972
2006,80000,10000,0,67,0,18,474,4518
2002,700000,540000,0,75,10,15,21,911
2010,0,110000,90000,77,1,4,329,3921
2014,0,30000,0,93,6,13,474,8015
2009,90000,100000,0,86,1,25,115,1341
2011,60000,30000,0,79,3,16,21,909
2007,10000,30000,0,45,11,13,442,1228
2012,0,190000,0,60,7,13,115,6063
2016,410000,320000,0,43,10,15,478,4099
2009,50000,40000,0,84,0,25,55,8356
1997,380000,260000,0,52,0,14,264,6958
2010,100000,0,0,79,3,4,6,4766
2005,20000,10000,0,98,3,15,474,2461
1998,300000,20000,0,58,10,10,17,5010
2010,0,0,20000,94,1,15,215,4713
2002,10000,0,30000,54,10,7,406,8228
2002,2600000,990000,890000,76,0,7,329,7609
2009,80000,70000,0,60,10,15,51,450
2008,100000,10000,0,92,3,4,474,4762
2010,0,60000,0,86,10,25,329,4264
2006,0,0,50000,69,1,15,254,7834
2016,60000,70000,10000,47,0,26,495,3944
1995,0,0,30000,58,10,22,317,980
2012,0,0,70000,75,7,18,317,4021
2008,390000,10000,0,93,9,4,474,5470
2016,0,0,20000,95,3,16,36,8163
2013,0,0,80000,63,3,2,447,5694
1999,400000,270000,0,58,6,14,51,7405
1998,20000,1130000,10000,71,10,14,88,813
2015,90000,100000,0,62,0,17,337,1451
1998,130000,90000,0,57,3,14,325,6444
2010,180000,0,0,71,0,13,448,4848
2006,30000,10000,0,68,6,28,134,2453
2010,790000,410000,0,76,10,27,474,8650
2010,80000,0,0,83,10,4,336,18
2009,8520000,3590000,80000,41,8,27,21,952
2000,0,0,90000,92,10,15,131,2219
2010,60000,100000,0,98,1,4,317,3079
2008,60000,20000,100000,82,9,16,474,341
2003,50000,40000,0,68,2,15,6,850
2008,30000,0,0,54,5,4,480,4431
2005,20000,10000,0,89,10,28,187,8237
1999,300000,200000,0,71,4,14,130,2698
2002,200000,160000,0,71,0,15,51,7723
2016,0,0,10000,54,0,19,215,5244
2008,0,290000,0,85,10,25,474,2776
2002,230000,80000,0,69,3,6,51,6404
2008,0,20000,0,69,9,4,182,4291
2004,220000,170000,0,73,0,15,21,8188
2009,40000,30000,0,52,8,16,130,6476
2015,0,0,70000,70,0,2,158,2581
2011,0,100000,0,74,1,13,131,197
2016,0,0,90000,56,0,19,351,2343
2012,0,20000,0,94,1,13,389,977
2004,140000,40000,0,64,0,28,254,6599
2007,680000,0,0,53,10,15,131,2224
2014,0,0,60000,56,7,2,275,4017
2011,1630000,310000,0,91,2,27,495,4663
1997,0,0,130000,57,7,20,316,1812
2015,0,50000,0,93,0,19,121,1670
2000,430000,90000,0,63,0,10,21,6835
2004,1310000,740000,310000,90,4,15,414,5909
2011,0,160000,0,95,3,16,414,6658
2012,0,0,50000,46,0,4,317,1583
2014,30000,50000,0,72,6,27,88,2598
2009,210000,200000,620000,43,0,16,406,8607
2012,0,0,20000,98,1,16,7,6993
2008,0,0,30000,55,11,4,452,6275
2008,0,0,110000,83,1,4,254,7837
1998,990000,220000,0,80,3,14,202,8377
2008,470000,300000,0,43,8,27,474,827
2013,230000,140000,0,45,0,16,21,1500
2010,40000,20000,50000,100,0,18,317,5064
2005,40000,10000,0,97,4,7,254,2539
1997,0,0,70000,76,2,14,398,7556
2008,140000,20000,0,69,10,4,131,6668
2004,90000,20000,0,97,8,28,51,1474
2010,180000,60000,0,43,0,27,391,1499
2003,470000,370000,0,59,10,15,131,4998
2003,350000,20000,0,58,5,0,51,2983
2016,10000,0,100000,99,3,19,406,3047
2010,380000,220000,0,89,9,4,131,7686
2010,220000,50000,0,67,10,25,21,5889
2009,520000,200000,0,92,3,27,21,2891
2004,860000,670000,0,92,2,15,131,1528
2013,50000,30000,0,41,0,26,21,7434
1995,0,0,100000,78,3,20,238,3264
2010,80000,60000,0,76,0,27,317,1144
2002,10000,0,0,67,6,7,474,5736
2008,0,0,50000,90,10,15,254,5752
2011,0,0,90000,58,2,4,317,1836
2006,30000,20000,0,59,6,15,172,647
2002,10000,0,0,64,11,13,226,6151
2001,290000,200000,0,58,7,14,421,2383
2002,0,0,20000,65,1,15,376,5099
2009,30000,20000,0,52,10,15,51,456
2016,20000,0,0,45,3,29,51,408
1995,0,0,110000,74,11,20,452,5232
2007,80000,0,0,87,3,18,51,406
2003,310000,100000,0,86,9,28,131,7675
2010,40000,10000,0,79,1,4,478,6304
2014,90000,0,0,66,6,16,115,4819
2009,100000,20000,0,99,3,15,21,1358
2009,250000,420000,10000,82,0,16,495,7625
2008,310000,20000,0,91,0,25,121,7459
1998,190000,130000,660000,73,9,14,414,4643
2012,0,0,20000,52,7,18,244,2117
2005,120000,0,0,90,8,18,131,1493
2016,0,0,60000,68,0,19,317,7080
2013,0,0,20000,72,1,19,36,8383
2010,0,0,120000,72,7,4,393,4352
2003,2930000,1250000,830000,89,4,6,329,7123
2008,80000,0,0,73,1,25,82,3038
2004,290000,80000,0,88,0,7,131,3005
2008,110000,10000,0,40,6,27,21,6224
2012,0,0,110000,64,0,18,475,8343
1999,10000,10000,0,96,2,14,489,3550
2014,0,0,50000,75,11,19,452,5235
1990,0,0,330000,79,10,5,317,2169
2010,50000,40000,0,90,4,15,104,1567
2009,50000,40000,0,60,3,15,448,1787
2007,100000,0,0,62,5,4,474,277
2015,220000,130000,220000,59,0,16,254,4449
2010,130000,0,0,41,3,25,131,4790
2003,10000,0,0,47,1,28,442,820
2012,0,0,30000,60,1,16,317,107
2004,10000,0,0,63,10,6,116,8302
2006,0,10000,0,97,0,13,130,7894
1985,420000,30000,0,47,5,0,21,2704
2008,0,0,30000,83,9,4,452,5634
2009,200000,0,0,73,9,4,474,3275
2007,0,0,20000,85,1,15,377,303
2006,550000,30000,0,93,0,27,264,3902
2005,190000,0,0,91,10,4,21,7904
2010,60000,10000,0,82,0,16,495,3935
2016,20000,0,0,66,0,17,82,6006
2013,0,0,10000,78,1,18,215,6554
1982,130000,10000,0,83,0,0,51,3853
2002,90000,70000,0,50,7,15,452,3910
2015,40000,0,120000,65,7,2,406,71
2003,370000,290000,0,98,10,15,23,924
1992,0,0,570000,51,5,22,210,7093
2010,450000,920000,60000,41,0,16,422,3581
2005,110000,90000,0,54,6,15,187,2486
2016,0,0,30000,83,7,2,158,624
1996,5550000,1940000,2230000,80,6,10,329,4243
2016,0,0,20000,80,0,17,82,1909
2005,440000,160000,0,40,3,6,442,34
2004,330000,600000,0,93,10,28,131,2232
2003,530000,410000,0,77,6,15,131,4838
2008,0,0,40000,45,8,15,406,6395
2001,20000,20000,0,41,10,14,4,3106
2007,0,0,100000,73,3,25,210,4589
2003,90000,30000,0,57,8,28,264,333
2014,0,0,230000,75,7,16,317,53
2009,0,0,30000,83,0,15,317,2142
2016,120000,80000,20000,49,8,17,448,568
2002,10000,0,0,77,5,28,238,7097
2011,20000,0,50000,45,7,18,195,5868
2011,30000,0,0,76,5,4,340,1052
2007,80000,0,0,72,0,25,88,3067
1998,1080000,240000,0,96,2,10,17,8298
2011,50000,20000,0,76,0,2,406,976
2003,260000,80000,0,95,3,28,296,8593
1996,150000,40000,0,55,8,10,168,3097
2012,840000,760000,0,56,7,13,21,8536
2009,80000,0,0,60,5,4,391,3029
2008,0,20000,0,40,6,13,51,2603
2009,350000,130000,0,66,2,4,442,8285
2011,0,10000,0,71,6,13,478,1959
2009,590000,200000,0,66,3,4,121,8462
2010,60000,60000,40000,81,0,27,296,4815
2009,0,0,20000,45,7,18,332,287
2006,30000,0,10000,84,0,4,157,7381
2012,0,0,10000,100,1,18,379,303
2005,2080000,830000,460000,92,0,15,82,6003
2000,30000,20000,0,70,6,14,458,370
2006,120000,40000,0,58,0,6,317,1339
2011,130000,60000,0,47,0,19,474,372
2005,2200000,580000,1380000,64,7,15,422,3771
2012,0,30000,0,41,4,26,53,8019
2010,80000,10000,0,54,3,4,448,1793
2007,120000,220000,0,97,0,27,130,7893
2015,210000,210000,0,95,0,26,121,1671
1981,180000,10000,0,79,10,0,281,3338
2011,10000,10000,0,72,3,27,442,8778
2011,50000,50000,0,97,10,2,317,1965
2012,200000,0,0,98,0,27,21,8452
2010,430000,250000,160000,40,7,25,329,8596
2004,110000,30000,0,60,8,28,51,6453
2004,110000,40000,0,61,3,6,478,5618
2010,0,0,130000,83,11,16,452,5230
2005,60000,50000,0,93,1,15,448,8713
2013,0,0,130000,57,11,2,259,3978
2008,160000,40000,80000,77,0,25,82,6008
2007,0,0,40000,59,2,4,6,1826
2014,10000,30000,0,58,0,29,452,8343
2009,80000,0,0,55,3,18,131,6369
2003,130000,40000,0,95,10,28,296,4874
2013,30000,30000,0,94,4,16,317,5351
2002,40000,10000,0,44,1,28,474,4797
1983,470000,30000,0,59,0,0,51,4498
2011,60000,90000,0,55,8,13,64,816
2005,100000,80000,0,60,3,15,96,7445
2006,310000,90000,0,51,0,28,442,1808
2011,30000,10000,0,45,0,13,64,3211
1999,30000,20000,0,58,6,14,226,7406
2010,0,0,20000,88,1,18,104,8244
1999,10000,260000,220000,55,10,10,254,3342
2010,0,0,80000,55,3,4,121,4712
2007,60000,50000,0,96,5,15,104,5812
1997,70000,50000,0,81,10,14,192,126
2001,60000,20000,0,89,8,6,254,2802
2008,100000,20000,0,75,5,4,422,6806
1997,160000,300000,0,93,10,10,131,2233
2016,30000,260000,0,58,0,17,474,7978
2015,10000,80000,0,53,0,19,495,3896
2008,430000,510000,20000,80,0,16,21,9
2004,2030000,210000,0,40,10,15,131,4895
2003,50000,20000,0,43,3,28,296,2162
2002,70000,20000,0,53,4,7,442,3528
2006,30000,0,0,72,3,18,452,2722
1999,120000,80000,0,60,0,14,414,3401
2008,0,0,0,77,10,16,452,2592
2009,120000,180000,0,84,0,4,272,5188
2002,190000,70000,0,75,7,6,51,1993
2009,120000,70000,0,87,8,27,442,61
2007,450000,240000,300000,61,7,18,422,2399
2009,20000,0,0,54,5,25,349,2689
2011,0,0,50000,78,1,18,317,6903
2005,1450000,1110000,40000,89,2,15,442,8289
2007,320000,60000,0,53,3,15,414,894
2007,230000,180000,0,70,1,15,254,4455
2004,150000,110000,0,55,2,15,17,6568
1998,430000,290000,0,61,10,14,414,4905
2012,50000,90000,0,53,6,16,317,6049
2002,860000,270000,10000,44,0,7,21,6844
2010,230000,40000,20000,46,2,27,351,696
2000,0,0,490000,56,3,14,42,5386
2006,70000,0,0,68,10,18,414,8521
2003,260000,200000,0,46,8,15,21,6031
2005,0,0,130000,82,3,15,104,3138
2011,670000,340000,130000,53,1,16,414,7529
2009,120000,30000,30000,52,0,25,317,1870
2014,1400000,1900000,110000,48,0,17,474,8352
2002,10000,0,0,56,2,6,254,5911
2011,0,0,20000,61,3,4,121,3854
2008,340000,170000,0,54,4,25,492,7595
2009,0,140000,0,57,5,4,302,1268
2010,250000,270000,0,57,6,27,21,732
2004,100000,0,0,64,3,4,442,5535
2016,0,0,60000,51,0,17,317,3635
1999,0,0,760000,67,10,14,254,3488
2007,0,0,20000,71,10,15,452,8433
2007,0,0,30000,41,9,4,439,4210
2004,920000,720000,0,91,2,15,298,4674
2007,0,0,30000,44,3,15,406,3532
2015,0,30000,50000,92,1,19,351,6992
2009,180000,0,0,61,0,25,21,1073
2001,50000,30000,0,73,8,14,489,4466
2005,0,0,40000,53,3,4,317,3718
2005,190000,50000,0,100,9,28,131,7676
2008,50000,0,0,55,2,25,217,6313
2005,160000,60000,0,58,0,6,442,1428
2008,260000,230000,0,59,9,4,442,8251
2001,920000,530000,410000,91,0,5,329,7603
1998,150000,110000,0,42,11,14,21,1139
2007,510000,40000,0,65,0,27,21,7996
2004,40000,20000,0,59,0,6,121,8031
1997,390000,270000,0,82,10,14,131,4934
1996,80000,50000,0,41,5,14,489,7152
2016,0,0,60000,41,0,2,317,285
2011,120000,130000,0,82,0,18,121,3897
1997,180000,120000,0,51,5,14,17,880
1995,290000,200000,20000,55,2,14,414,4664
2007,0,50000,0,64,7,13,51,7745
2010,100000,0,0,63,5,4,115,6611
2011,0,20000,0,51,9,25,8,2691
2010,0,0,20000,90,1,18,395,2594
2010,170000,0,0,70,3,4,473,1123
2015,0,10000,0,67,0,26,317,501
2008,90000,0,0,58,10,25,6,1059
2001,80000,20000,0,77,10,28,442,1442
2009,560000,40000,0,88,0,25,394,5949
2007,230000,260000,0,49,0,18,21,7996
2007,150000,0,0,59,10,4,420,3283
2007,190000,0,0,40,10,27,131,4942
2011,0,0,50000,58,9,27,317,7536
2011,0,0,50000,90,7,18,332,1146
2012,220000,620000,0,45,8,13,474,2309
2008,0,0,20000,88,1,15,376,2379
2005,60000,20000,0,86,3,6,116,733
1999,200000,140000,0,64,6,14,255,3898
2010,70000,410000,0,46,3,16,414,6981
2008,0,0,10000,85,1,15,245,2926
2010,470000,80000,10000,88,3,25,317,5373
2008,30000,10000,40000,85,2,18,351,2877
2003,300000,230000,0,66,8,15,317,7799
2000,0,0,60000,66,1,15,452,264
1999,60000,130000,0,81,6,10,461,6091
2005,430000,340000,0,94,0,15,448,4857
2008,0,0,20000,63,7,18,148,8758
2013,0,60000,0,45,8,2,21,6865
2005,130000,40000,0,41,6,28,442,3558
2008,710000,190000,240000,47,7,16,406,8178
2015,220000,60000,0,45,0,7,478,5178
2012,90000,100000,0,44,10,16,131,2816
2009,130000,150000,0,62,5,4,394,67
2007,490000,390000,0,97,9,16,414,8333
2008,2040000,1020000,0,85,0,27,495,3880
2010,0,10000,0,78,0,13,82,1444
1999,190000,50000,0,62,6,10,442,6084
2002,980000,530000,0,68,8,15,188,1235
2008,0,0,10000,57,3,15,320,5106
2007,0,10000,0,87,11,13,130,585
1998,250000,170000,650000,75,7,14,423,805
2008,130000,100000,0,80,6,18,134,2454
2008,80000,60000,0,40,2,15,317,5031
2002,160000,50000,0,92,8,28,477,724
2008,40000,0,0,96,9,4,474,5097
2007,190000,150000,0,45,0,15,448,2302
2006,230000,40000,20000,60,6,27,51,7408
2000,180000,40000,0,54,2,10,17,2039
2001,0,0,260000,75,7,6,329,4172
1997,0,0,370000,73,11,5,13,4526
2006,230000,20000,1490000,80,7,4,422,1887
1998,290000,190000,890000,76,7,14,423,8598
2013,1250000,620000,180000,67,4,26,329,5158
2009,760000,270000,0,91,10,25,131,2034
2016,0,10000,0,75,9,13,25,2353
2015,380000,220000,0,64,0,29,495,3891
2007,20000,0,0,67,4,25,375,6109
2012,90000,130000,0,66,0,19,495,3907
2011,0,0,30000,50,1,18,30,3625
2012,860000,0,0,54,10,16,414,4085
2011,0,0,50000,52,7,16,478,4624
1997,20000,10000,0,78,6,14,236,5441
2006,1010000,40000,0,47,6,15,442,997
2001,760000,960000,0,68,8,15,442,5970
2008,1400000,590000,0,79,0,4,21,3889
2011,0,50000,0,92,9,13,145,6670
2015,1180000,890000,940000,44,4,26,329,7131
2004,20000,0,0,83,10,28,53,5733
2010,440000,460000,10000,84,2,16,442,8286
2010,100000,30000,0,74,0,4,104,8628
2004,30000,20000,0,55,0,15,58,989
2009,690000,170000,0,43,10,25,21,7918
2004,140000,40000,0,83,0,28,448,4218
2004,860000,450000,0,43,8,28,474,7859
2005,40000,20000,0,71,6,6,96,7853
2008,0,0,30000,92,1,18,277,7823
1995,150000,100000,410000,65,2,14,414,545
2007,30000,0,0,82,6,4,172,647
2009,150000,340000,0,44,3,27,296,3973
2012,0,0,230000,91,3,19,406,3048
2006,40000,10000,0,65,10,28,298,4101
2014,190000,130000,0,59,3,17,474,3586
1998,70000,50000,0,41,6,14,442,1034
2009,100000,0,0,98,9,4,123,1942
2003,880000,330000,0,66,4,6,442,6859
1995,2260000,720000,120000,91,2,22,329,3738
2016,0,10000,0,78,1,26,337,7451
2010,0,180000,0,69,3,25,337,8366
2009,80000,0,0,51,6,25,479,6671
2016,0,10000,0,42,6,13,300,4124
2014,370000,220000,0,89,0,26,121,1670
2016,10000,10000,0,55,1,17,294,149
2011,110000,50000,0,74,0,16,442,4280
2003,380000,290000,0,94,8,15,397,1236
2008,110000,0,0,89,3,18,474,1084
2009,430000,470000,50000,73,0,18,474,385
2010,430000,80000,0,73,3,16,268,6112
2008,500000,0,0,67,3,25,442,325
2012,130000,70000,0,54,7,2,329,3094
2009,220000,0,0,76,5,4,442,324
2000,0,0,140000,96,1,5,285,6295
2003,280000,100000,0,56,0,6,442,1695
2012,0,0,20000,89,0,18,215,6786
2007,70000,0,0,79,5,4,238,5783
2004,60000,20000,0,61,0,28,51,2488
2006,10000,10000,0,56,1,15,442,800
2013,0,0,180000,56,3,2,329,1378
1984,1220000,280000,2460000,46,10,11,329,2790
2007,120000,0,0,80,3,18,348,2995
2000,150000,100000,0,81,10,14,318,870
2013,0,0,90000,83,3,2,158,984
2013,780000,4240000,70000,54,10,16,131,2216
2003,210000,60000,0,73,10,28,296,3970
2007,60000,0,0,64,5,25,297,5259
2013,0,0,100000,85,8,16,317,4131
2002,70000,20000,0,64,6,28,442,4114
2007,460000,10000,0,42,9,4,442,5433
2002,30000,10000,0,84,10,7,21,4305
2006,250000,190000,20000,95,0,15,130,7894
2006,440000,30000,0,76,2,27,442,8283
2001,530000,220000,0,67,4,10,442,1239
2009,100000,80000,0,51,3,15,268,6118
2009,0,0,10000,92,0,4,317,3129
1981,330000,20000,0,86,0,0,281,2542
2003,1090000,150000,250000,99,10,7,329,4240
2009,90000,10000,0,48,4,16,474,1166
2002,0,0,20000,72,0,14,448,636
2008,10000,790000,0,57,0,13,448,2820
2005,60000,40000,0,88,3,15,134,7299
2009,140000,0,0,64,8,25,21,3579
2008,550000,590000,0,54,9,4,474,3297
2009,0,0,20000,94,11,15,75,2619
2005,140000,40000,0,73,7,28,298,2666
2008,80000,60000,10000,81,3,25,406,3960
2006,140000,40000,160000,88,4,18,414,4002
2005,20000,0,0,64,1,28,448,8713
2010,0,30000,0,54,9,13,478,8091
2015,190000,110000,90000,87,3,26,329,274
2009,0,0,40000,63,7,18,277,8176
2016,40000,110000,110000,46,0,17,452,427
2008,310000,0,0,73,3,4,6,6703
2005,240000,90000,190000,81,10,6,329,4267
1996,0,0,20000,62,5,22,92,7147
2006,10000,10000,0,93,6,15,317,5380
2013,20000,0,0,78,0,26,263,4613
2009,20000,0,0,59,10,25,70,1014
2005,70000,60000,0,92,6,15,254,2119
2013,0,0,260000,63,0,2,317,166
2006,0,0,170000,91,10,4,254,8422
